date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:19	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-3f106da40eb297f2;gz%22	https://html.ditsolution.net/robots.txt		(from )
17:20:19	47273/47273	---M-Z	200	added ('OK')	text/html	etag:%22b8a9-66cbff44-abab9496ca196eb4;gz%22	https://html.ditsolution.net/buddy/	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/index.html	(from )
17:20:20	2545/2545	---M--	200	added ('OK')	image/png	etag:%229f1-66cbff57-9719c31d3f023dad;;;%22	https://html.ditsolution.net/buddy/assets/images/fav-icon/icon.png	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/assets/images/fav-icon/icon.png	(from https://html.ditsolution.net/buddy/)
17:20:21	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-66cbff59-e29521467f9b28be;gz%22	https://html.ditsolution.net/buddy/assets/css/bootstrap.min.css	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/assets/css/bootstrap.min.css	(from https://html.ditsolution.net/buddy/)
17:20:22	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-66cbff59-3f6d80cf823a2832;gz%22	https://html.ditsolution.net/buddy/assets/css/owl.carousel.min.css	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/assets/css/owl.carousel.min.css	(from https://html.ditsolution.net/buddy/)
17:20:23	59715/59715	---M-Z	200	added ('OK')	text/css	etag:%22e943-66cbff58-3024e850b6aeb58c;gz%22	https://html.ditsolution.net/buddy/assets/css/animate.css	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/assets/css/animate.css	(from https://html.ditsolution.net/buddy/)
17:20:24	20082/20082	---M-Z	200	added ('OK')	text/css	etag:%224e72-66cbff58-e906f2e68bdb5b5e;gz%22	https://html.ditsolution.net/buddy/assets/css/animated-text.css	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/assets/css/animated-text.css	(from https://html.ditsolution.net/buddy/)
17:20:25	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%22190f1-66cbff58-2e503770b87cc37a;gz%22	https://html.ditsolution.net/buddy/assets/css/all.min.css	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/assets/css/all.min.css	(from https://html.ditsolution.net/buddy/)
17:20:26	5553/5553	---M-Z	200	added ('OK')	text/css	etag:%2215b1-66cbff59-a3b2aab713d181ac;gz%22	https://html.ditsolution.net/buddy/assets/css/theme-default.css	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/assets/css/theme-default.css	(from https://html.ditsolution.net/buddy/)
17:20:27	3570/3570	---M-Z	200	added ('OK')	text/css	etag:%22df2-66cbff59-86dd76cba4250506;gz%22	https://html.ditsolution.net/buddy/assets/css/meanmenu.min.css	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/assets/css/meanmenu.min.css	(from https://html.ditsolution.net/buddy/)
17:20:28	4476/4476	---M-Z	200	added ('OK')	text/css	etag:%22117c-66cbff59-8465e9a6e1484d6b;gz%22	https://html.ditsolution.net/buddy/assets/css/owl.transitions.css	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/assets/css/owl.transitions.css	(from https://html.ditsolution.net/buddy/)
17:20:29	7604/7604	---M-Z	200	added ('OK')	text/css	etag:%221db4-66cbff45-8ee81327de711905;gz%22	https://html.ditsolution.net/buddy/venobox/venobox.css	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/venobox/venobox.css	(from https://html.ditsolution.net/buddy/)
17:20:30	88585/88585	---M-Z	200	added ('OK')	text/css	etag:%2215a09-66cbff58-fd1a5bed6692e766;gz%22	https://html.ditsolution.net/buddy/assets/css/bootstrap-icons.css	/Users/eniyan/websites/wurafarms/html.ditsolution.net/buddy/assets/css/bootstrap-icons.css	(from https://html.ditsolution.net/buddy/)
